n_speakers,sample_rate,nfft,signal_duration,vad_treshold,pre_emph,frame_length,overlap,window,model,p,pre_processing_time,mfcc_time,model_time,microF1,macroF1
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,VQ,12,2.44,18.15,99.63,0.88,0.9
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,GMM,12,2.44,18.15,12.87,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,VQ,12,2.56,23.64,118.89,0.96,0.96
5,10000,512,10.0,0.02,0.99,0.02,0.0,hanning,SVM,12,0.95,52.7,171.34,0.93,0.94
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,VQ,12,2.51,21.68,114.32,0.96,0.96
5,10000,512,10.0,0.012,0.9,0.03,0.02,hamming,SVM,12,2.34,12.99,19.57,0.81,0.75
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,VQ,12,3.25,63.37,248.66,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.02,hamming,GMM,12,2.36,12.69,7.26,0.96,0.96
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,GMM,12,3.25,63.37,45.39,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,SVM,12,2.44,18.15,32.24,0.81,0.74
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,GMM,12,2.95,42.08,48.87,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,GMM,12,3.62,86.59,77.64,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,SVM,12,3.25,63.37,168.75,0.81,0.74
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,VQ,12,2.95,42.08,174.8,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.035,0.01,hamming,VQ,12,3.23,50.71,213.16,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.02,hamming,SVM,12,2.52,16.88,27.8,0.85,0.87
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,VQ,12,2.64,31.86,148.99,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,GMM,12,2.56,23.64,17.45,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,SVM,12,2.56,23.64,47.19,0.81,0.74
6,10000,512,10.0,0.02,0.99,0.04,0.03,hanning,SVM,12,0.36,4.42,5.3,0.97,0.97
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,SVM,12,2.84,29.21,62.95,0.81,0.75
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,SVM,12,3.62,86.59,271.4,0.81,0.75
5,10000,512,10.0,0.012,0.9,0.02,0.02,hamming,SVM,12,2.42,18.29,32.49,0.81,0.75
5,10000,512,10.0,0.012,0.9,0.03,0.02,hamming,SVM,12,2.28,10.01,13.76,0.85,0.87
5,10000,512,10.0,0.012,0.9,0.02,0.02,hamming,GMM,12,2.42,18.29,18.48,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,GMM,12,2.64,31.86,49.3,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.02,hamming,VQ,12,2.52,16.88,92.35,0.96,0.96
5,10000,512,10.0,0.012,0.9,0.02,0.0,hamming,VQ,12,4.07,118.17,371.14,0.96,0.96
